frame,timestamp,ground_truth_x,ground_truth_y,measurement_x,measurement_y,kalman_x,kalman_y,tracking_error,state,confidence,camera_x,camera_y,detection,measurement_accepted,local_search_active,processing_time_ms
34,1.1333,837.94,391.30,832.08,376.39,834.17,380.14,11.78,TRACKING,1.00,809.40,377.36,True,True,False,0.0400
35,1.1667,840.61,391.69,833.84,383.82,835.95,381.11,11.56,TRACKING,1.00,812.05,377.74,True,True,False,0.0399
36,1.2000,843.27,392.11,831.43,383.30,837.01,381.85,12.02,TRACKING,1.00,814.55,378.15,True,True,False,0.0400
37,1.2333,845.95,392.31,831.57,391.64,837.87,383.88,11.68,TRACKING,1.00,816.88,378.72,True,True,False,0.0399
38,1.2667,848.64,392.37,845.33,386.25,840.86,384.72,10.92,TRACKING,1.00,819.28,379.32,True,True,False,0.0407
39,1.3000,851.33,392.46,840.81,379.97,842.62,384.37,11.89,TRACKING,1.00,821.61,379.83,True,True,False,0.0395
40,1.3333,854.02,392.62,850.62,381.34,845.71,384.28,11.77,TRACKING,1.00,824.02,380.27,True,True,False,0.0405
41,1.3667,856.71,392.80,847.31,370.41,847.77,382.36,13.74,TRACKING,1.00,826.40,380.27,True,True,False,0.0463
42,1.4000,859.40,392.97,856.12,380.85,850.95,382.41,13.52,TRACKING,1.00,828.85,380.27,True,True,False,0.0400
43,1.4333,862.09,393.10,860.09,383.76,854.30,382.92,12.82,TRACKING,1.00,831.40,380.54,True,True,False,0.0398
44,1.4667,864.78,393.08,861.32,377.20,857.34,382.27,13.12,TRACKING,1.00,833.99,380.54,True,True,False,0.0397
45,1.5000,867.47,392.98,863.06,380.43,860.20,382.22,12.99,TRACKING,1.00,836.61,380.54,True,True,False,0.0402
46,1.5333,870.16,392.83,875.09,390.59,864.60,383.85,10.56,TRACKING,1.00,839.41,380.87,True,True,False,0.0406
47,1.5667,872.85,392.79,871.11,385.27,867.69,384.38,9.87,TRACKING,1.00,842.24,381.22,True,True,False,0.0407
48,1.6000,875.54,392.79,881.00,385.23,871.93,384.82,8.75,TRACKING,1.00,845.21,381.58,True,True,False,0.0395
49,1.6333,878.23,392.60,882.24,383.20,875.75,384.85,8.14,TRACKING,1.00,848.26,381.91,True,True,False,0.0397
50,1.6667,880.92,392.45,882.52,388.33,879.03,385.72,6.99,TRACKING,1.00,851.34,382.29,True,True,False,0.0399
51,1.7000,883.60,392.25,879.40,386.88,881.27,386.22,6.46,TRACKING,1.00,854.33,382.68,True,True,False,0.0398
52,1.7333,886.28,391.98,883.76,382.97,883.86,386.00,6.45,TRACKING,1.00,857.28,383.01,True,True,False,0.0406
53,1.7667,888.97,391.78,885.97,385.25,886.38,386.17,6.17,TRACKING,1.00,860.19,383.33,True,True,False,0.0488
54,1.8000,891.66,391.69,886.00,392.66,888.49,387.53,5.23,TRACKING,1.00,863.02,383.75,True,True,False,0.0415
55,1.8333,894.35,391.70,886.65,391.08,890.33,388.44,5.17,TRACKING,1.00,865.75,384.22,True,True,False,0.0416
56,1.8667,897.04,391.61,889.62,386.93,892.34,388.54,5.62,TRACKING,1.00,868.41,384.65,True,True,False,0.0398
57,1.9000,899.73,391.50,892.86,384.66,894.53,388.23,6.14,TRACKING,1.00,871.02,385.01,True,True,False,0.0442
58,1.9333,902.42,391.42,887.31,391.47,895.43,389.07,7.38,TRACKING,1.00,873.46,385.41,True,True,False,0.0414
59,1.9667,905.11,391.44,892.06,384.88,896.90,388.70,8.66,TRACKING,1.00,875.81,385.74,True,True,False,0.0403
60,2.0000,907.81,391.42,,,899.29,389.06,8.84,PREDICTING,0.98,878.16,386.07,False,False,False,0.0207
61,2.0333,910.50,391.37,,,901.67,389.41,9.04,PREDICTING,0.96,880.51,386.41,False,False,False,0.0167
62,2.0667,913.19,391.20,,,904.05,389.76,9.25,PREDICTING,0.94,882.86,386.74,False,False,False,0.0137
63,2.1000,915.86,390.91,,,906.44,390.12,9.46,PREDICTING,0.92,885.22,387.08,False,False,False,0.0125
64,2.1333,918.55,390.70,,,908.82,390.47,9.73,PREDICTING,0.90,887.58,387.42,False,False,False,0.0124
65,2.1667,921.24,390.64,,,911.20,390.83,10.04,PREDICTING,0.88,889.94,387.76,False,False,False,0.0128
66,2.2000,923.93,390.57,,,913.58,391.18,10.36,PREDICTING,0.86,892.31,388.10,False,False,False,0.0122
67,2.2333,926.62,390.61,,,915.97,391.53,10.69,PREDICTING,0.84,894.67,388.45,False,False,False,0.0120
68,2.2667,929.31,390.69,,,918.35,391.89,11.03,PREDICTING,0.82,897.04,388.79,False,False,False,0.0121
69,2.3000,932.01,390.70,,,920.73,392.24,11.38,PREDICTING,0.80,899.41,389.13,False,False,False,0.0120
70,2.3333,934.70,390.75,,,923.12,392.59,11.73,PREDICTING,0.78,901.78,389.48,False,False,False,0.0118
71,2.3667,937.38,390.96,,,925.50,392.95,12.05,PREDICTING,0.76,904.15,389.83,False,False,False,0.0120
72,2.4000,940.07,391.17,,,927.88,393.30,12.37,PREDICTING,0.74,906.53,390.17,False,False,False,0.0119
73,2.4333,942.73,391.55,922.94,393.40,926.70,393.53,16.16,REACQUIRING,0.89,908.54,390.51,True,True,False,0.0435
74,2.4667,945.42,391.64,931.65,395.91,929.90,394.59,15.81,TRACKING,1.00,910.68,390.92,True,True,False,0.0422
75,2.5000,948.11,391.83,943.86,383.29,935.48,391.67,12.63,TRACKING,1.00,913.16,390.92,True,True,False,0.0411
76,2.5333,950.80,392.02,937.07,397.33,937.69,393.24,13.16,TRACKING,1.00,915.61,390.92,True,True,False,0.0405
77,2.5667,953.48,392.18,938.90,388.87,939.83,392.52,13.66,TRACKING,1.00,918.03,390.92,True,True,False,0.0404
78,2.6000,956.17,392.36,941.21,381.03,942.02,390.43,14.28,TRACKING,1.00,920.43,390.92,True,True,False,0.0398
79,2.6333,958.86,392.31,953.64,389.39,946.15,390.37,12.86,TRACKING,1.00,923.00,390.92,True,True,False,0.0397
80,2.6667,961.56,392.25,956.57,385.65,950.05,389.65,11.79,TRACKING,1.00,925.71,390.92,True,True,False,0.0397
81,2.7000,964.25,392.22,955.00,387.04,952.99,389.29,11.63,TRACKING,1.00,928.44,390.92,True,True,False,0.0401
82,2.7333,966.94,392.35,947.23,382.31,954.09,388.18,13.50,TRACKING,1.00,931.00,390.64,True,True,False,0.0400
83,2.7667,969.63,392.43,959.73,380.34,957.10,386.89,13.70,TRACKING,1.00,933.61,390.27,True,True,False,0.0398
84,2.8000,972.32,392.41,961.75,394.30,959.95,388.13,13.09,TRACKING,1.00,936.25,390.27,True,True,False,0.0408
85,2.8333,975.01,392.35,971.35,390.09,963.94,388.50,11.72,TRACKING,1.00,939.02,390.27,True,True,False,0.0403
86,2.8667,977.71,392.38,977.04,390.39,968.26,388.87,10.08,TRACKING,1.00,941.94,390.27,True,True,False,0.0401
87,2.9000,980.40,392.45,982.46,380.58,972.82,387.56,9.02,TRACKING,1.00,945.03,390.00,True,True,False,0.0405
88,2.9333,983.09,392.46,977.93,390.05,975.95,387.99,8.43,TRACKING,1.00,948.12,390.00,True,True,False,0.0398
89,2.9667,985.78,392.53,992.46,393.84,980.97,388.98,5.98,TRACKING,1.00,951.41,390.00,True,True,False,0.0399
90,3.0000,988.47,392.61,989.05,389.70,984.69,389.16,5.11,TRACKING,1.00,954.73,390.00,True,True,False,0.0396
91,3.0333,991.16,392.79,985.87,397.95,987.31,390.68,4.39,TRACKING,1.00,957.99,390.00,True,True,False,0.0399
92,3.0667,993.85,392.89,998.37,385.30,991.55,389.92,3.76,TRACKING,1.00,961.35,390.00,True,True,False,0.0397
93,3.1000,996.54,392.96,994.33,378.27,994.47,388.09,5.30,TRACKING,1.00,964.66,390.00,True,True,False,0.0396
94,3.1333,999.23,392.99,1007.29,380.87,999.05,386.91,6.08,TRACKING,1.00,968.10,389.69,True,True,False,0.0396
95,3.1667,1001.92,392.86,998.93,378.43,1001.56,385.48,7.39,TRACKING,1.00,971.45,389.27,True,True,False,0.0405
96,3.2000,1004.61,392.77,1009.94,384.33,1005.45,385.21,7.60,TRACKING,1.00,974.85,388.86,True,True,False,0.0402
97,3.2333,1007.31,392.70,1012.32,387.47,1009.12,385.49,7.44,TRACKING,1.00,978.27,388.53,True,True,False,0.0397
98,3.2667,1010.00,392.63,1011.14,390.58,1012.02,386.25,6.69,TRACKING,1.00,981.65,388.53,True,True,False,0.0398
99,3.3000,1012.69,392.53,1007.58,394.19,1013.85,387.51,5.15,TRACKING,1.00,984.87,388.53,True,True,False,0.0396
100,3.3333,1015.37,392.29,1005.59,385.68,1015.00,387.22,5.08,TRACKING,1.00,987.88,388.53,True,True,False,0.0398
101,3.3667,1018.05,392.00,1014.16,383.99,1017.30,386.68,5.37,TRACKING,1.00,990.82,388.53,True,True,False,0.0400
102,3.4000,1020.72,391.67,1015.20,375.11,1019.37,384.75,7.05,TRACKING,1.00,993.68,388.15,True,True,False,0.0400
103,3.4333,1023.38,391.26,1010.35,377.02,1020.27,383.37,8.48,TRACKING,1.00,996.34,387.67,True,True,False,0.0400
104,3.4667,1026.04,390.83,1017.71,382.72,1022.15,383.12,8.63,TRACKING,1.00,998.92,387.22,True,True,False,0.0398
105,3.5000,1028.70,390.44,1019.15,378.08,1023.93,382.13,9.58,TRACKING,1.00,1001.42,386.71,True,True,False,0.0410
106,3.5333,1031.39,390.25,1020.26,380.03,1025.56,381.60,10.43,TRACKING,1.00,1003.83,386.20,True,True,False,0.0405
107,3.5667,1034.08,390.09,1023.28,391.40,1027.38,383.02,9.73,TRACKING,1.00,1006.19,385.88,True,True,False,0.0401
108,3.6000,1036.77,389.95,1033.79,392.43,1030.60,384.44,8.27,TRACKING,1.00,1008.63,385.88,True,True,False,0.0402
109,3.6333,1039.45,389.80,1033.28,384.63,1033.23,384.40,8.24,TRACKING,1.00,1011.09,385.88,True,True,False,0.0408
110,3.6667,1042.12,389.45,1034.24,394.19,1035.59,385.95,7.42,TRACKING,1.00,1013.54,385.88,True,True,False,0.0400
111,3.7000,1044.79,389.09,1038.79,378.76,1038.29,384.76,7.81,TRACKING,1.00,1016.01,385.88,True,True,False,0.0407
112,3.7333,1047.46,388.74,1034.50,392.36,1039.85,385.96,8.10,TRACKING,1.00,1018.40,385.88,True,True,False,0.0392
113,3.7667,1050.15,388.66,1052.16,390.56,1044.02,386.71,6.43,TRACKING,1.00,1020.96,385.88,True,True,False,0.0391
114,3.8000,1052.84,388.55,1043.86,386.97,1046.20,386.78,6.88,TRACKING,1.00,1023.48,385.88,True,True,False,0.0397
115,3.8333,1055.54,388.48,1058.04,392.91,1050.33,387.82,5.24,TRACKING,1.00,1026.17,385.88,True,True,False,0.0393
116,3.8667,1058.23,388.40,1062.01,394.96,1054.50,389.06,3.79,TRACKING,1.00,1029.00,386.20,True,True,False,0.0392
117,3.9000,1060.91,388.20,1062.03,386.10,1058.04,388.69,2.91,TRACKING,1.00,1031.91,386.20,True,True,False,0.0399
118,3.9333,1063.60,388.12,1065.08,383.05,1061.53,387.85,2.09,TRACKING,1.00,1034.87,386.20,True,True,False,0.0397
119,3.9667,1066.30,388.12,1068.79,380.23,1065.09,386.65,1.90,TRACKING,1.00,1037.89,386.20,True,True,False,0.0395
120,4.0000,1068.99,388.21,,,1067.95,386.66,1.86,PREDICTING,0.98,1040.90,386.24,False,False,False,0.0166
121,4.0333,1071.68,388.20,,,1070.80,386.67,1.76,PREDICTING,0.96,1043.89,386.29,False,False,False,0.0139
122,4.0667,1074.37,388.34,,,1073.66,386.68,1.80,PREDICTING,0.94,1046.86,386.33,False,False,False,0.0132
123,4.1000,1077.06,388.32,,,1076.52,386.69,1.72,PREDICTING,0.92,1049.83,386.36,False,False,False,0.0124
124,4.1333,1079.75,388.38,,,1079.38,386.70,1.72,PREDICTING,0.90,1052.79,386.40,False,False,False,0.0123
125,4.1667,1082.43,388.66,,,1082.24,386.71,1.96,PREDICTING,0.88,1055.73,386.43,False,False,False,0.0122
126,4.2000,1085.12,388.84,,,1085.10,386.72,2.13,PREDICTING,0.86,1058.67,386.46,False,False,False,0.0122
127,4.2333,1087.81,388.96,,,1087.96,386.73,2.24,PREDICTING,0.84,1061.60,386.48,False,False,False,0.0127
128,4.2667,1090.50,389.10,,,1090.82,386.73,2.38,PREDICTING,0.82,1064.52,386.51,False,False,False,0.0118
129,4.3000,1093.19,389.17,,,1093.68,386.74,2.48,PREDICTING,0.80,1067.43,386.53,False,False,False,0.0117
130,4.3333,1095.88,389.08,,,1096.53,386.75,2.42,PREDICTING,0.78,1070.34,386.55,False,False,False,0.0120
131,4.3667,1098.57,389.00,,,1099.39,386.76,2.38,PREDICTING,0.76,1073.25,386.57,False,False,False,0.0118
132,4.4000,1101.26,388.80,,,1102.25,386.77,2.26,PREDICTING,0.74,1076.15,386.59,False,False,False,0.0118
133,4.4333,1103.94,388.66,,,1105.11,386.78,2.21,PREDICTING,0.72,1079.05,386.61,False,False,False,0.0121
134,4.4667,1106.63,388.41,,,1107.97,386.79,2.11,SEARCHING,0.70,1081.94,386.63,False,False,True,0.0152
135,4.5000,1109.32,388.33,,,1110.83,386.80,2.16,SEARCHING,0.68,1084.83,386.65,False,False,True,0.0142
136,4.5333,1112.00,388.17,,,1113.69,386.80,2.17,SEARCHING,0.66,1087.71,386.66,False,False,True,0.0129
137,4.5667,1114.69,387.97,,,1116.55,386.81,2.19,SEARCHING,0.64,1095.10,386.68,False,False,True,0.0132
138,4.6000,1117.38,387.86,,,1119.41,386.82,2.28,SEARCHING,0.62,1102.03,386.69,False,False,True,0.0125
139,4.6333,1120.06,387.62,,,1122.26,386.83,2.34,SEARCHING,0.60,1108.55,386.71,False,False,True,0.0126
140,4.6667,1122.75,387.40,,,1125.12,386.84,2.44,SEARCHING,0.58,1114.71,386.72,False,False,True,0.0124
141,4.7000,1125.44,387.32,,,1127.98,386.85,2.59,SEARCHING,0.56,1119.22,389.91,False,False,True,0.0130
142,4.7333,1128.12,387.07,,,1130.84,386.86,2.73,SEARCHING,0.54,1123.56,392.79,False,False,True,0.0121
143,4.7667,1130.80,386.84,,,1133.70,386.87,2.90,SEARCHING,0.52,1127.76,395.38,False,False,True,0.0119
144,4.8000,1133.49,386.64,,,1136.56,386.87,3.08,SEARCHING,0.50,1131.82,397.71,False,False,True,0.0121
145,4.8333,1136.18,386.52,,,1139.42,386.88,3.26,SEARCHING,0.48,1132.58,401.13,False,False,True,0.0127
146,4.8667,1138.86,386.27,,,1142.28,386.89,3.48,SEARCHING,0.46,1133.55,404.20,False,False,True,0.0120
147,4.9000,1141.52,385.88,,,1145.14,386.90,3.76,SEARCHING,0.44,1134.71,406.97,False,False,True,0.0121
148,4.9333,1144.19,385.54,,,1147.99,386.91,4.04,SEARCHING,0.42,1136.04,409.47,False,False,True,0.0121
149,4.9667,1146.87,385.24,,,1150.85,386.92,4.33,SEARCHING,0.40,1134.34,410.39,False,False,True,0.0128
150,5.0000,1149.55,384.96,,,1153.71,386.93,4.61,SEARCHING,0.38,1133.09,411.23,False,False,True,0.0120
151,5.0333,1152.23,384.72,,,1156.57,386.94,4.88,SEARCHING,0.36,1132.26,411.98,False,False,True,0.0120
152,5.0667,1154.90,384.41,,,1159.43,386.95,5.19,SEARCHING,0.34,1131.79,412.66,False,False,True,0.0118
153,5.1000,1157.58,384.12,,,1162.29,386.95,5.50,SEARCHING,0.32,1130.34,410.09,False,False,True,0.0120
154,5.1333,1160.26,383.86,,,1165.15,386.96,5.79,SEARCHING,0.30,1129.32,407.78,False,False,True,0.0126
155,5.1667,1162.93,383.53,,,1168.01,386.97,6.13,SEARCHING,0.28,1128.69,405.70,False,False,True,0.0121
156,5.2000,1165.62,383.39,1173.43,379.39,1172.96,380.77,7.79,REACQUIRING,0.43,1133.12,403.20,True,True,False,0.0452
157,5.2333,1168.31,383.31,1167.48,375.87,1171.95,378.41,6.11,TRACKING,0.58,1137.00,400.72,True,True,False,0.0418
158,5.2667,1171.00,383.10,1179.55,374.59,1176.38,376.99,8.14,TRACKING,0.73,1140.94,398.35,True,True,False,0.0408
159,5.3000,1173.68,382.96,1189.62,363.57,1182.04,373.19,12.86,TRACKING,0.88,1145.05,395.83,True,True,False,0.0399
160,5.3333,1176.37,382.71,1178.90,369.24,1183.56,372.01,12.89,TRACKING,1.00,1148.90,393.45,True,True,False,0.0405
161,5.3667,1179.05,382.55,1183.50,370.99,1185.84,371.52,12.95,TRACKING,1.00,1152.59,391.26,True,True,False,0.0406
162,5.4000,1181.75,382.52,1192.45,369.71,1189.43,370.88,13.95,TRACKING,1.00,1156.28,389.22,True,True,False,0.0398
163,5.4333,1184.44,382.39,1197.45,362.27,1193.27,368.99,16.05,TRACKING,1.00,1159.98,387.20,True,True,False,0.0422
164,5.4667,1187.13,382.37,1188.89,365.45,1194.91,368.01,16.33,TRACKING,1.00,1163.47,385.28,True,True,False,0.0397
165,5.5000,1189.82,382.40,1189.51,365.87,1196.36,367.27,16.48,TRACKING,1.00,1166.76,383.48,True,True,False,0.0398
166,5.5333,1192.51,382.51,1185.22,359.90,1196.81,365.63,17.41,TRACKING,1.00,1169.76,381.69,True,True,False,0.0398
167,5.5667,1195.18,382.82,1192.28,368.26,1198.31,365.65,17.46,TRACKING,1.00,1172.62,380.09,True,True,False,0.0399
168,5.6000,1197.86,383.11,1188.86,380.53,1198.94,367.72,15.43,TRACKING,1.00,1175.25,378.85,True,True,False,0.0400
169,5.6333,1200.55,383.32,1202.23,384.11,1201.63,370.14,13.23,TRACKING,1.00,1177.89,377.98,True,True,False,0.0445
170,5.6667,1203.24,383.44,1191.88,378.35,1202.15,371.31,12.18,TRACKING,1.00,1180.31,377.31,True,True,False,0.0467
171,5.7000,1205.93,383.46,1201.43,390.15,1204.09,374.30,9.34,TRACKING,1.00,1182.69,377.01,True,True,False,0.0420
172,5.7333,1208.62,383.48,1203.87,385.05,1206.10,376.07,7.83,TRACKING,1.00,1185.03,377.01,True,True,False,0.0410
173,5.7667,1211.31,383.53,1220.87,379.63,1210.58,376.72,6.85,TRACKING,1.00,1187.59,377.01,True,True,False,0.0417
174,5.8000,1214.00,383.62,1222.25,389.61,1214.63,378.95,4.71,TRACKING,1.00,1190.29,377.01,True,True,False,0.0408
175,5.8333,1216.69,383.79,1225.26,380.45,1218.57,379.37,4.81,TRACKING,1.00,1193.12,377.01,True,True,False,0.0408
176,5.8667,1219.38,383.96,1227.57,393.94,1222.30,381.97,3.53,TRACKING,1.00,1196.04,377.51,True,True,False,0.0401
177,5.9000,1222.05,384.29,1232.17,386.10,1226.21,382.93,4.37,TRACKING,1.00,1199.05,378.05,True,True,False,0.0399
178,5.9333,1224.73,384.60,1239.83,384.38,1230.79,383.47,6.17,TRACKING,1.00,1202.23,378.59,True,True,False,0.0402
179,5.9667,1227.35,385.19,1237.07,392.30,1234.23,385.25,6.87,TRACKING,1.00,1205.43,379.26,True,True,False,0.0398
180,6.0000,1229.97,385.84,1237.69,392.07,1237.21,386.75,7.31,TRACKING,1.00,1208.61,380.01,True,True,False,0.0395
181,6.0333,1230.00,386.41,1233.43,394.07,1239.00,388.38,9.21,TRACKING,1.00,1211.65,380.85,True,True,False,0.0429
182,6.0667,1227.39,387.09,1237.59,391.11,1241.13,389.28,13.91,TRACKING,1.00,1214.59,381.69,True,True,False,0.0401
183,6.1000,1224.78,387.72,1234.39,402.75,1242.35,391.99,18.09,TRACKING,1.00,1217.37,382.72,True,True,False,0.0400
184,6.1333,1222.16,388.37,1218.87,402.67,1240.72,394.32,19.49,TRACKING,1.00,1219.70,383.88,True,True,False,0.0404
185,6.1667,1219.53,388.94,1224.55,403.40,1240.13,396.45,21.92,TRACKING,1.00,1221.75,385.14,True,True,False,0.0398
186,6.2000,1216.89,389.47,1211.68,405.26,1237.38,398.59,22.43,TRACKING,1.00,1223.31,386.48,True,True,False,0.0397
187,6.2333,1214.25,390.00,1208.60,401.57,1234.38,399.81,22.39,TRACKING,1.00,1224.42,387.81,True,True,False,0.0399
188,6.2667,1211.63,390.63,1208.05,393.33,1231.59,399.47,21.83,TRACKING,1.00,1225.13,388.98,True,True,False,0.0395
189,6.3000,1209.06,391.41,1203.19,392.57,1228.27,399.02,20.67,TRACKING,1.00,1225.45,389.98,True,True,False,0.0401
190,6.3333,1206.49,392.23,1100.00,100.00,1229.70,399.79,24.41,PREDICTING,0.98,1225.87,390.96,True,False,False,0.0162
191,6.3667,1203.91,392.97,1100.00,100.00,1231.14,400.56,28.27,PREDICTING,0.96,1226.40,391.92,True,False,False,0.0157
192,6.4000,1201.31,393.69,1203.11,397.73,1226.24,400.55,25.86,REACQUIRING,1.00,1226.40,392.79,True,True,False,0.0425
193,6.4333,1198.75,394.53,1190.63,406.94,1219.98,402.42,22.65,TRACKING,1.00,1225.76,393.75,True,True,False,0.0416
194,6.4667,1196.19,395.36,1191.98,408.01,1215.27,404.13,21.00,TRACKING,1.00,1224.71,394.79,True,True,False,0.0715
195,6.5000,1193.62,396.15,1186.88,403.67,1210.49,404.72,18.92,TRACKING,1.00,1223.29,395.78,True,True,False,0.0438
196,6.5333,1191.07,397.03,1192.91,399.06,1207.59,404.37,18.08,TRACKING,1.00,1221.72,396.64,True,True,False,0.0798
197,6.5667,1188.52,397.89,1192.54,400.16,1205.09,404.26,17.76,TRACKING,1.00,1220.06,397.40,True,True,False,0.2208
198,6.6000,1185.97,398.74,1186.05,414.03,1201.84,406.55,17.69,TRACKING,1.00,1218.23,398.32,True,True,False,0.0644
199,6.6333,1183.46,399.72,1188.12,412.39,1199.42,408.20,18.08,TRACKING,1.00,1216.35,399.31,True,True,False,0.0483
200,6.6667,1180.93,400.65,1182.39,413.57,1196.37,409.80,17.95,TRACKING,1.00,1214.36,400.35,True,True,False,0.0690
201,6.7000,1178.39,401.53,1173.37,412.34,1192.23,410.95,16.75,TRACKING,1.00,1212.14,401.41,True,True,False,0.0464
202,6.7333,1175.80,402.30,1181.74,416.09,1190.05,412.54,17.55,TRACKING,1.00,1209.93,402.53,True,True,False,0.0472
203,6.7667,1173.19,402.96,1177.84,410.71,1187.53,413.00,17.51,TRACKING,1.00,1207.69,403.57,True,True,False,0.0428
204,6.8000,1170.62,403.76,1173.54,415.75,1184.65,414.20,17.49,TRACKING,1.00,1205.39,404.64,True,True,False,0.0420
205,6.8333,1168.08,404.66,1162.72,413.05,1180.37,414.77,15.91,TRACKING,1.00,1202.89,405.65,True,True,False,0.0421
206,6.8667,1165.53,405.50,1167.42,400.99,1177.45,413.24,14.21,TRACKING,1.00,1200.34,406.41,True,True,False,0.0419
207,6.9000,1162.95,406.29,1154.64,412.18,1172.83,413.72,12.35,TRACKING,1.00,1197.59,407.14,True,True,False,0.0410
208,6.9333,1160.37,407.03,1156.85,416.25,1169.19,414.77,11.74,TRACKING,1.00,1194.75,407.90,True,True,False,0.0417
209,6.9667,1157.69,407.36,1151.89,417.37,1165.25,415.85,11.36,TRACKING,1.00,1191.80,408.70,True,True,False,0.0415
210,7.0000,1155.01,407.64,1152.96,420.77,1162.03,417.32,11.96,TRACKING,1.00,1188.82,409.56,True,True,False,0.0415
211,7.0333,1152.33,407.79,1137.52,417.17,1156.73,417.99,11.11,TRACKING,1.00,1185.62,410.40,True,True,False,0.0420
